344	BLOOMBERG	Apr 11, 2016 11:00:52 AM
325	BLOOMBERG	Apr 11, 2016 11:01:36 AM
326	BLOOMBERG	Apr 11, 2016 11:01:57 AM
B417	WENDELL	Apr 11, 2016 11:02:47 AM
234	JOLINE	Apr 11, 2016 11:04:29 AM
E317	BAKER	Apr 11, 2016 11:08:43 AM
105	EDWARDS	Apr 11, 2016 11:09:12 AM
346	BLOOMBERG	Apr 11, 2016 11:12:03 AM
381	BLOOMBERG	Apr 11, 2016 11:12:34 AM
F218	1981	Apr 11, 2016 11:12:41 AM
110	EDWARDS	Apr 11, 2016 11:14:42 AM
D114	LAURITZEN	Apr 11, 2016 11:16:31 AM
G311	HARGADON	Apr 11, 2016 11:20:31 AM
307	BLOOMBERG	Apr 11, 2016 11:23:31 AM
244	BLOOMBERG	Apr 11, 2016 11:23:37 AM
B419	WENDELL	Apr 11, 2016 11:23:42 AM
F026	1981	Apr 11, 2016 11:24:41 AM
C209	WENDELL	Apr 11, 2016 11:26:19 AM
071	LITTLE	Apr 11, 2016 11:27:05 AM
312	JOLINE	Apr 11, 2016 11:27:42 AM
381	LITTLE	Apr 11, 2016 11:28:22 AM
393	LITTLE	Apr 11, 2016 11:28:48 AM
A105	YOSELOFF	Apr 11, 2016 11:34:38 AM
E205	BAKER	Apr 11, 2016 11:45:16 AM
B408	WENDELL	Apr 11, 2016 11:47:17 AM
G203A	HARGADON	Apr 11, 2016 11:48:57 AM
G304A	HARGADON	Apr 11, 2016 11:52:28 AM
405	BLOOMBERG	Apr 11, 2016 11:52:43 AM
457	BLOOMBERG	Apr 11, 2016 11:52:43 AM
427	BLOOMBERG	Apr 11, 2016 11:53:10 AM
408	BLOOMBERG	Apr 11, 2016 11:58:38 AM
404	BLOOMBERG	Apr 11, 2016 11:58:44 AM
316	BLOOMBERG	Apr 11, 2016 12:03:09 PM
C211	WENDELL	Apr 11, 2016 12:03:42 PM
C213	WENDELL	Apr 11, 2016 12:03:43 PM
B204	WENDELL	Apr 11, 2016 12:06:43 PM
391	LITTLE	Apr 11, 2016 12:15:08 PM
B316	WENDELL	Apr 11, 2016 12:22:11 PM
339	BLOOMBERG	Apr 11, 2016 12:25:44 PM
338	BLOOMBERG	Apr 11, 2016 12:25:45 PM
177	BLOOMBERG	Apr 11, 2016 12:36:49 PM
193	BLOOMBERG	Apr 11, 2016 12:47:10 PM
331	JOLINE	Apr 11, 2016 13:17:49 PM
S102	BAKER	Apr 11, 2016 15:50:43 PM
106	FORBES	Apr 12, 2016 09:00:30 AM
212	1938	Apr 12, 2016 09:01:01 AM
305	FORBES	Apr 12, 2016 09:01:05 AM
112	FORBES	Apr 12, 2016 09:01:23 AM
132	1927	Apr 12, 2016 09:02:35 AM
255	FORBES	Apr 12, 2016 09:03:51 AM
327	WALKER	Apr 12, 2016 09:08:58 AM
214	WALKER	Apr 12, 2016 09:11:44 AM
328	FORBES	Apr 12, 2016 09:13:30 AM
329	FORBES	Apr 12, 2016 09:14:19 AM
254	FORBES	Apr 12, 2016 09:14:40 AM
122	1927	Apr 12, 2016 09:15:31 AM
A158	FORBES	Apr 12, 2016 09:21:57 AM
319	WALKER	Apr 12, 2016 09:23:10 AM
301	FORBES	Apr 12, 2016 09:23:36 AM
302	FORBES	Apr 12, 2016 09:23:41 AM
154	FORBES	Apr 12, 2016 09:23:51 AM
155	FORBES	Apr 12, 2016 09:23:55 AM
121	1927	Apr 12, 2016 09:24:56 AM
213	WALKER	Apr 12, 2016 09:25:12 AM
A155	FORBES	Apr 12, 2016 09:27:04 AM
251	FORBES	Apr 12, 2016 09:37:18 AM
304	FORBES	Apr 12, 2016 09:37:25 AM
303	FORBES	Apr 12, 2016 09:37:27 AM
151	FORBES	Apr 12, 2016 09:38:59 AM
331	1939	Apr 12, 2016 09:40:19 AM
224N	FORBES	Apr 12, 2016 09:51:58 AM
A258	FORBES	Apr 12, 2016 09:52:41 AM
A268	FORBES	Apr 12, 2016 09:54:06 AM
302	FEINBERG	Apr 12, 2016 09:57:08 AM
212	DODGEOSBORN	Apr 12, 2016 09:57:29 AM
301	FEINBERG	Apr 12, 2016 09:58:02 AM
324	WALKER	Apr 12, 2016 09:58:12 AM
204	DODGEOSBORN	Apr 12, 2016 09:58:36 AM
A270	FORBES	Apr 12, 2016 09:58:48 AM
235	1938	Apr 12, 2016 10:00:46 AM
A157	FORBES	Apr 12, 2016 10:02:25 AM
232	CLAPP	Apr 12, 2016 10:03:16 AM
A147	FORBES	Apr 12, 2016 10:04:55 AM
262	FORBES	Apr 12, 2016 10:05:31 AM
261	FORBES	Apr 12, 2016 10:05:31 AM
117	GAUSS	Apr 12, 2016 10:06:36 AM
111	1927	Apr 12, 2016 10:12:29 AM
332	WALKER	Apr 12, 2016 10:12:34 AM
130	GAUSS	Apr 12, 2016 10:12:43 AM
220	FORBES	Apr 12, 2016 10:13:35 AM
219	FORBES	Apr 12, 2016 10:14:11 AM
A133	FORBES	Apr 12, 2016 10:14:30 AM
331	FORBES	Apr 12, 2016 10:17:17 AM
132	WALKER	Apr 12, 2016 10:20:27 AM
202	DODGEOSBORN	Apr 12, 2016 10:22:24 AM
331	WALKER	Apr 12, 2016 10:23:42 AM
267	FORBES	Apr 12, 2016 10:24:44 AM
264	FORBES	Apr 12, 2016 10:26:58 AM
301	WALKER	Apr 12, 2016 10:27:05 AM
268	FORBES	Apr 12, 2016 10:28:24 AM
201	1937	Apr 12, 2016 10:28:51 AM
204	1937	Apr 12, 2016 10:28:51 AM
266	FORBES	Apr 12, 2016 10:29:26 AM
123	DODGEOSBORN	Apr 12, 2016 10:33:24 AM
103	1937	Apr 12, 2016 10:35:03 AM
201	CLAPP	Apr 12, 2016 10:36:12 AM
A148	FORBES	Apr 12, 2016 10:38:17 AM
A154	FORBES	Apr 12, 2016 10:38:36 AM
A152	FORBES	Apr 12, 2016 10:38:43 AM
226	DODGEOSBORN	Apr 12, 2016 10:40:13 AM
227	DODGEOSBORN	Apr 12, 2016 10:43:33 AM
324	FORBES	Apr 12, 2016 10:45:28 AM
A144	FORBES	Apr 12, 2016 10:45:31 AM
A142	FORBES	Apr 12, 2016 10:45:42 AM
202	CLAPP	Apr 12, 2016 10:46:53 AM
A248	FORBES	Apr 12, 2016 10:51:22 AM
A146	FORBES	Apr 12, 2016 10:56:57 AM
321	FORBES	Apr 12, 2016 10:56:58 AM
126	1939	Apr 12, 2016 11:02:05 AM
131	1927	Apr 12, 2016 11:02:41 AM
A247	FORBES	Apr 12, 2016 11:02:54 AM
A257	FORBES	Apr 12, 2016 11:03:41 AM
A259	FORBES	Apr 12, 2016 11:03:41 AM
152	FORBES	Apr 12, 2016 11:04:08 AM
116	1939	Apr 12, 2016 11:04:37 AM
131	1937	Apr 12, 2016 11:06:59 AM
115	GAUSS	Apr 12, 2016 11:08:07 AM
212	CLAPP	Apr 12, 2016 11:11:42 AM
A246	FORBES	Apr 12, 2016 11:16:23 AM
122	1937	Apr 12, 2016 11:17:26 AM
108	FORBES	Apr 12, 2016 11:17:46 AM
210	FORBES	Apr 12, 2016 11:18:14 AM
107	FORBES	Apr 12, 2016 11:18:27 AM
217	DODGEOSBORN	Apr 12, 2016 11:18:44 AM
112	1927	Apr 12, 2016 11:20:17 AM
116	GAUSS	Apr 12, 2016 11:20:27 AM
214	1938	Apr 12, 2016 11:22:38 AM
112	GAUSS	Apr 12, 2016 11:23:18 AM
153	FORBES	Apr 12, 2016 11:23:44 AM
114	GAUSS	Apr 12, 2016 11:24:28 AM
